,sido_name,gugun_name,sido_code,gugun_code,addr,doro_address,s_code,s_name,open_dt,lat,lot,s_biz_code,store_area_code,out_distance,defaultimage
1501,강원,강릉시,09,0912,강원도 강릉시 임당동 122-2,강원도 강릉시 경강로 2096 (임당동),854,강릉중앙로,20141114,37.7544531,128.8962224,3035,A12,269.3,http://image.istarbucks.co.kr/upload/store/2021/08/[3035]_20210827040948_uhz4q.jpg
1502,강원,강릉시,09,0912,강원도 강릉시 교동 1882-1,강원도 강릉시 교동광장로 114 (교동),1308,강릉교동광장,20171207,37.764312,128.877061,3463,A12,268.02,http://image.istarbucks.co.kr/upload/store/2021/02/[3463]_20210207095638_ll769.jpg
1503,강원,강릉시,09,0912,"강원도 강릉시 강문동 182-2, 21",강원도 강릉시 창해로350번길 3 (강문동),1600,강릉강문해변,20200109,37.794712,128.918555,3756,A12,272.53,http://image.istarbucks.co.kr/upload/store/2021/01/[3756]_20210108023729_b0crh.jpg
1504,강원,강릉시,09,0912,강원도 강릉시 송정동 545-2,강원도 강릉시 경강로 2400 (송정동),1586,강릉송정DT,20191205,37.771851,128.922839,3683,A12,272.11,http://image.istarbucks.co.kr/upload/store/2021/01/[3683]_20210107114034_xxvnm.jpg
1505,강원도,고성군,09,0914,강원도 고성군 토성면 원암리 403-1,강원도 고성군 토성면 미시령옛길 1153,706,소노델피노,20131221,38.212094,128.493948,9897,A12,257.73,http://image.istarbucks.co.kr/upload/store/2021/01/[9897]_20210107125139_4vil2.jpg
1506,강원,동해시 ,09,0901,강원도 동해시 평릉동 163-3,강원도 동해시 동해대로 5453 (평릉동),2018,동해IC DT,20220905,37.52873,129.10438,4182,A12,280.93,http://image.istarbucks.co.kr/upload/store/2022/09/[4182]_20220902110406_yk2s2.jpg
1507,강원,동해시 ,09,0901,강원도 동해시 천곡동 1020,강원도 동해시 중앙로 219 (천곡동),1164,동해DT,20170112,37.520193,129.114767,3313,A12,281.64,http://image.istarbucks.co.kr/upload/store/2021/01/[3313]_20210113020803_2b41d.JPG
1508,강원,속초시,09,0903,강원도 속초시 금호동 621-174 주유소,강원도 속초시 미시령로 3426 (금호동),2154,속초금호DT,20230713,38.2090544007249,128.580487255221,4220,A12,264.09,http://image.istarbucks.co.kr/upload/store/2023/07/[4220]_20230712104340_9k0dl.jpg
1509,강원,속초시,09,0903,강원도 속초시 교동 883-1,강원도 속초시 청대로 339 (교동),1898,속초교동DT,20211223,38.1966412,128.5718716,4049,A12,262.75,http://image.istarbucks.co.kr/upload/store/2021/12/[4049]_20211221090841_nphio.jpg
1510,강원,속초시,09,0903,강원도 속초시 금호동 484-6번지,강원도 속초시 중앙로 123 (금호동),629,속초중앙로,20130614,38.202593,128.589453,9817,A12,264.41,http://image.istarbucks.co.kr/upload/store/2021/01/[9817]_20210113020726_3yf1f.jpg
